--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
110.470  000.073  000.073: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/filetype.lua
110.886  000.100  000.100: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/synload.vim
110.921  000.394  000.294: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/syntax.vim
110.926  000.499: inits 3
112.636  001.710: reading ShaDa
113.037  000.400: opening buffers
113.969  000.191  000.191: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/codeium.vim/autoload/codeium/util.vim
114.090  000.801  000.610: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/codeium.vim/plugin/codeium.vim
114.618  000.291  000.291: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/codeium.vim/autoload/codeium.vim
114.969  000.290  000.290: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/codeium.vim/autoload/codeium/command.vim
115.095  000.676: BufEnter autocommands
115.097  000.001: editing files in windows
118.193  000.071  000.071: require('dap.ui')
118.200  000.220  000.149: require('dap.repl')
118.203  002.886: --- NVIM STARTED ---

